Date : 2025-03-28 14:04:20
Directory : c:\Users\Q\Desktop\paper2github
Total : 157 files,  -23187 codes, -1725 comments, -3679 blanks, all -28591 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\coco128.yaml                                  | YAML             |        -86 |        -10 |         -4 |       -100 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\hyps\hyp.Objects365.yaml                      | YAML             |        -29 |         -4 |         -2 |        -35 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\hyps\hyp.VOC.yaml                             | YAML             |        -29 |         -9 |         -3 |        -41 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\hyps\hyp.no-augmentation.yaml                 | YAML             |        -28 |         -6 |         -2 |        -36 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\hyps\hyp.scratch-high.yaml                    | YAML             |        -28 |         -5 |         -2 |        -35 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\hyps\hyp.scratch-low.yaml                     | YAML             |        -28 |         -5 |         -2 |        -35 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\hyps\hyp.scratch-med.yaml                     | YAML             |        -28 |         -5 |         -2 |        -35 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\scripts\download_weights.sh                   | Shell Script     |         -9 |         -9 |         -5 |        -23 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\scripts\get_coco.sh                           | Shell Script     |        -42 |        -11 |         -4 |        -57 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\scripts\get_coco128.sh                        | Shell Script     |         -6 |         -9 |         -3 |        -18 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\scripts\get_imagenet.sh                       | Shell Script     |        -29 |        -16 |         -7 |        -52 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\scripts\get_imagenet10.sh                     | Shell Script     |        -15 |        -11 |         -4 |        -30 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\scripts\get_imagenet100.sh                    | Shell Script     |        -15 |        -11 |         -4 |        -30 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\scripts\get_imagenet1000.sh                   | Shell Script     |        -15 |        -11 |         -4 |        -30 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\data\xView.yaml                                    | YAML             |       -112 |        -23 |        -17 |       -152 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\detect.py                                          | Python           |       -259 |        -21 |        -36 |       -316 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\export.py                                          | Python           |       -772 |        -40 |       -129 |       -941 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\hubconf.py                                         | Python           |       -148 |         -7 |        -41 |       -196 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\__init__.py                                 | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\common.py                                   | Python           |       -886 |        -57 |       -138 |     -1,081 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\experimental.py                             | Python           |        -98 |         -7 |        -26 |       -131 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\anchors.yaml                            | YAML             |        -37 |        -12 |         -8 |        -57 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov3-spp.yaml                         | YAML             |        -41 |         -5 |         -7 |        -53 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov3-tiny.yaml                        | YAML             |        -32 |         -5 |         -6 |        -43 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov3.yaml                             | YAML             |        -41 |         -5 |         -7 |        -53 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-bifpn.yaml                       | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-fpn.yaml                         | YAML             |        -32 |         -5 |         -7 |        -44 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-p2.yaml                          | YAML             |        -41 |         -5 |        -10 |        -56 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-p34.yaml                         | YAML             |        -31 |         -5 |         -7 |        -43 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-p6.yaml                          | YAML             |        -43 |         -5 |        -10 |        -58 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-p7.yaml                          | YAML             |        -52 |         -5 |        -12 |        -69 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5-panet.yaml                       | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5l6.yaml                           | YAML             |        -47 |         -5 |        -10 |        -62 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5m6.yaml                           | YAML             |        -47 |         -5 |        -10 |        -62 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5n6.yaml                           | YAML             |        -47 |         -5 |        -10 |        -62 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s-LeakyReLU.yaml                  | YAML             |        -38 |         -5 |         -8 |        -51 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s-ghost.yaml                      | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s-transformer.yaml                | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5s6.yaml                           | YAML             |        -47 |         -5 |        -10 |        -62 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\hub\yolov5x6.yaml                           | YAML             |        -47 |         -5 |        -10 |        -62 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5l-seg.yaml                    | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5m-seg.yaml                    | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5n-seg.yaml                    | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5s-seg.yaml                    | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\segment\yolov5x-seg.yaml                    | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\tf.py                                       | Python           |       -620 |        -42 |       -112 |       -774 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolo.py                                     | Python           |       -414 |        -14 |        -59 |       -487 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5l.yaml                                | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5m.yaml                                | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5n.yaml                                | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5s.yaml                                | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\models\yolov5x.yaml                                | YAML             |        -37 |         -5 |         -8 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\requirements.txt                                   | pip requirements |        -18 |        -26 |         -7 |        -51 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\predict.py                                 | Python           |       -253 |        -20 |        -34 |       -307 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\train.py                                   | Python           |       -611 |        -76 |        -74 |       -761 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\tutorial.ipynb                             | JSON             |       -595 |          0 |         -1 |       -596 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\val.py                                     | Python           |       -429 |        -32 |        -58 |       -519 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\train.py                                           | Python           |       -684 |        -77 |        -88 |       -849 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\tutorial.ipynb                                     | JSON             |       -604 |          0 |         -1 |       -605 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\__init__.py                                  | Python           |        -67 |         -3 |        -26 |        -96 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\activations.py                               | Python           |        -92 |         -5 |        -30 |       -127 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\augmentations.py                             | Python           |       -324 |        -33 |        -85 |       -442 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\autoanchor.py                                | Python           |       -126 |        -18 |        -28 |       -172 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\autobatch.py                                 | Python           |        -48 |        -10 |        -13 |        -71 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\__init__.py                              | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\mime.sh                                  | Shell Script     |        -15 |         -6 |         -6 |        -27 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\resume.py                                | Python           |        -28 |         -4 |         -9 |        -41 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\userdata.sh                              | Shell Script     |        -20 |         -6 |         -2 |        -28 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\callbacks.py                                 | Python           |        -61 |         -1 |        -12 |        -74 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\dataloaders.py                               | Python           |     -1,133 |        -71 |       -168 |     -1,372 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\docker\Dockerfile                            | Docker           |        -16 |        -36 |        -22 |        -74 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\downloads.py                                 | Python           |       -109 |         -5 |        -23 |       -137 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\flask_rest_api\README.md                     | Markdown         |        -58 |          0 |        -13 |        -71 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\flask_rest_api\example_request.py            | Python           |         -9 |         -2 |         -7 |        -18 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\flask_rest_api\restapi.py                    | Python           |        -31 |         -5 |        -14 |        -50 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\general.py                                   | Python           |     -1,010 |        -57 |       -223 |     -1,290 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\google_app_engine\Dockerfile                 | Docker           |         -9 |        -10 |         -7 |        -26 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\google_app_engine\app.yaml                   | YAML             |        -11 |          0 |         -4 |        -15 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\__init__.py                          | Python           |       -387 |        -12 |        -72 |       -471 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\README.md                    | Markdown         |       -154 |          0 |        -81 |       -235 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\__init__.py                  | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\clearml_utils.py             | Python           |       -178 |        -15 |        -36 |       -229 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\hpo.py                       | Python           |        -58 |        -25 |         -6 |        -89 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\README.md                      | Markdown         |       -170 |          0 |        -81 |       -251 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\__init__.py                    | Python           |       -427 |        -13 |       -107 |       -547 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\comet_utils.py                 | Python           |       -112 |         -2 |        -36 |       -150 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\hpo.py                         | Python           |       -100 |         -3 |        -22 |       -125 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\wandb\__init__.py                    | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\wandb\wandb_utils.py                 | Python           |       -175 |         -6 |        -30 |       -211 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loss.py                                      | Python           |       -185 |        -27 |        -43 |       -255 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\metrics.py                                   | Python           |       -283 |        -30 |        -70 |       -383 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\plots.py                                     | Python           |       -426 |        -18 |        -70 |       -514 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\__init__.py                          | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\augmentations.py                     | Python           |        -61 |        -19 |        -21 |       -101 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\dataloaders.py                       | Python           |       -299 |        -23 |        -41 |       -363 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\general.py                           | Python           |       -126 |         -4 |        -32 |       -162 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\loss.py                              | Python           |       -153 |        -16 |        -27 |       -196 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\metrics.py                           | Python           |       -181 |         -1 |        -36 |       -218 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\plots.py                             | Python           |       -126 |         -9 |        -16 |       -151 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\torch_utils.py                               | Python           |       -396 |         -7 |        -78 |       -481 |
| c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\triton.py                                    | Python           |        -72 |         -1 |        -19 |        -92 |
